id,build_time_min,deploy_time_min,commit_size_loc,num_bugs,test_coverage_pct,ticket_resolution_h,team,module,priority,deploy_status
1,17.483833788586672,5.142444873125305,268,1,58.49133341387742,35.33632005549489,Beta,ui,media,success
2,9.741207314415645,6.940580051966821,246,3,69.13926783685697,25.221201054539435,Beta,payments,baja,success
3,13.452513645349356,5.620070503269918,247,1,70.7066870373974,5.9095801413059235,Alpha,auth,alta,failed
4,14.531450419844163,4.7209028750273845,261,1,70.25946628324999,13.51733560860157,Gamma,ui,crítica,rolled_back
5,13.617073292563996,4.347377731547729,224,4,100,34.139520851741416,Gamma,payments,crítica,success
6,11.575501935634064,4.762380986309791,261,2,84.45043082525078,22.235701984648994,Alpha,payments,crítica,success
7,18.046087989755755,6.787117786491127,274,0,63.04038362555635,32.38616052914172,Gamma,auth,baja,success
8,11.62136384634761,5.422229021320012,262,1,76.56895396630863,13.194678023457527,Beta,api,media,success
9,20.073694855508165,4.022440412329219,240,2,58.72212678548326,11.410437050201756,Beta,ui,baja,success
10,11.749143603790316,4.559256149789906,229,3,63.05360654546917,134.21836112734863,Beta,ui,alta,failed
11,17.21947861689394,0.5,256,0,60.61289124348407,33.87757457591115,Gamma,payments,media,success
12,21.14658157080443,5.553824552469085,280,2,75.45388272492961,23.839827650461825,Beta,ui,alta,success
13,6.444557195550643,6.9476325347937795,248,3,72.64698591172768,3.7054372064610104,Beta,ui,media,success
14,10.884844932730514,2.726811478362882,253,1,63.274618928721075,20.865937805657676,Alpha,api,media,success
15,11.466714654425369,5.192164269703538,274,1,86.33897373776692,29.70169021088391,Beta,payments,baja,success
16,14.543801592280298,4.029300527701774,233,1,93.54031031118333,47.955916104684455,Gamma,payments,baja,failed
17,10.86298831433571,3.423201946375946,241,3,100,2,Gamma,ui,baja,success
18,NA,5.17567970819557,238,1,53.480725106690016,42.90060330725728,Gamma,database,baja,failed
19,2.2381322856979224,3.5153081274968008,252,6,43.606744691686544,3.5266657087847264,Beta,auth,media,success
20,17.28045338292077,4.845286586923771,262,3,100,17.768142006283096,Alpha,payments,baja,success
21,10.773445623686102,7.646545629106293,248,0,80.48740877770885,2.9563646612410426,Beta,auth,media,success
22,4.87476626408,1.597076163449736,250,3,68.85644311237004,56.685776931003005,Beta,payments,baja,failed
23,NA,3.6530437509468072,258,0,70.3117394268432,12.161161735200166,Beta,auth,baja,success
24,16.858698796690394,4.140586575481569,250,2,78.27218648979313,11.540296141058207,Alpha,ui,baja,success
25,19.58077384505986,7.495737688032503,244,1,61.91076113843789,51.010820042629106,Delta,api,alta,success
26,10.278123473575201,6.7677598633795,252,3,85.22775918092955,2.2183962017297745,Alpha,ui,media,success
27,10.970922468924282,4.884216097404285,235,5,90.15959752921967,30.775117242325745,Gamma,database,alta,success
28,4.947347659220879,2.5453512931110396,265,0,66.06262520463704,23.676238075969046,Beta,auth,baja,success
29,13.840389419325085,5.550406575666224,266,2,77.18699563182193,36.37727871335564,Delta,payments,media,success
30,9.440020496159523,5.204531445280194,240,3,69.158490201734807,49.7204869220358,Gamma,ui,baja,success
31,13.821800492964877,6.003560412139184,228,0,62.46624229824734,15.413575362414122,Alpha,payments,baja,success
32,14.819349348915276,5.0046004543208875,259,3,57.077892741328355,2,Beta,auth,baja,success
33,16.14041408787969,2.1943950185503986,245,2,66.76787768445354,2.0183669552206993,Delta,payments,media,success
34,9.564294498371156,4.425099003745965,256,0,62.72670753398724,2,Beta,auth,baja,success
35,14.019820493191881,8.003424603071393,278,0,70.31668795385184,92.83719969781782,Gamma,auth,baja,success
36,5.13196528370663,1.6585034564269603,262,4,70.79799185417683,19.19125323784501,Beta,api,media,success
37,8.862163966482015,5.302462516840288,266,2,73.88849516352356,4.8099287040531635,Alpha,payments,baja,success
38,8.596369623293928,8.175240582155748,262,2,60.65149075782077,18.233083314185432,Gamma,database,baja,success
39,2.3431694002134726,4.093539640499819,245,1,61.5125943749987,13.114038765299707,Beta,database,baja,success
40,12.144490427569023,6.009924143720499,226,1,91.21944538218405,28.269694938247497,Beta,auth,alta,success
41,12.823994400801016,4.038854077659755,252,2,91.95744307617765,2.917021259665489,Gamma,ui,alta,rolled_back
42,10.555770805805334,5.821197208021149,221,5,84.03390904994696,26.429498835389907,Gamma,auth,baja,success
